month,product_group_id,product_group_name,market_revenue,revenue_amazon
2025-01-01,1,Portable Computers,14640970752.0,3092214784.0
2025-02-01,1,Portable Computers,10986855424.0,3494326784.0
2025-03-01,1,Portable Computers,13857473536.0,3351612928.0
2025-04-01,1,Portable Computers,9544014848.0,2906047232.0
2025-05-01,1,Portable Computers,13667234816.0,3485783552.0
2025-06-01,1,Portable Computers,13479049216.0,2996932352.0
2025-07-01,1,Portable Computers,12841286656.0,3131016448.0
2025-08-01,1,Portable Computers,12896471040.0,3129182464.0
2025-09-01,1,Portable Computers,12081567744.0,3043480320.0
2025-10-01,1,Portable Computers,12265122816.0,2933953280.0
2025-11-01,1,Portable Computers,13017474048.0,3239765504.0
2025-12-01,1,Portable Computers,11095642112.0,2800890880.0
2025-01-01,2,Cooling Systems,5734402560.0,451970496.0
2025-02-01,2,Cooling Systems,6412516864.0,521248992.0
2025-03-01,2,Cooling Systems,5972282368.0,594063424.0
2025-04-01,2,Cooling Systems,6389700608.0,609239232.0
2025-05-01,2,Cooling Systems,6554297344.0,655378368.0
2025-06-01,2,Cooling Systems,6647030272.0,607020160.0
2025-07-01,2,Cooling Systems,5516642816.0,593930048.0
2025-08-01,2,Cooling Systems,5997697024.0,608408512.0
2025-09-01,2,Cooling Systems,6381711872.0,592920384.0
2025-10-01,2,Cooling Systems,5919112192.0,612287616.0
2025-11-01,2,Cooling Systems,6136040448.0,613399808.0
2025-12-01,2,Cooling Systems,6307803136.0,546236096.0
2025-01-01,3,Frozen Storage Units,1698376320.0,148135216.0
2025-02-01,3,Frozen Storage Units,1583970816.0,150117920.0
2025-03-01,3,Frozen Storage Units,1759418752.0,154356048.0
2025-04-01,3,Frozen Storage Units,1599573760.0,153713408.0
2025-05-01,3,Frozen Storage Units,1795415168.0,159742096.0
2025-06-01,3,Frozen Storage Units,1766833408.0,164663808.0
2025-07-01,3,Frozen Storage Units,1640007552.0,171203408.0
2025-08-01,3,Frozen Storage Units,1416814336.0,169271376.0
2025-09-01,3,Frozen Storage Units,1423728896.0,163644512.0
2025-10-01,3,Frozen Storage Units,1369290752.0,141864560.0
2025-11-01,3,Frozen Storage Units,1511014528.0,133480560.0
2025-12-01,3,Frozen Storage Units,1395398144.0,135068672.0
2025-01-01,4,Laundry Machines,5545172480.0,532667616.0
2025-02-01,4,Laundry Machines,6534540800.0,561253760.0
2025-03-01,4,Laundry Machines,7182495232.0,626864896.0
2025-04-01,4,Laundry Machines,7432172032.0,539981824.0
2025-05-01,4,Laundry Machines,7719275008.0,615593664.0
2025-06-01,4,Laundry Machines,6911025152.0,593957312.0
2025-07-01,4,Laundry Machines,6949643776.0,496922368.0
2025-08-01,4,Laundry Machines,6907917824.0,552642432.0
2025-09-01,4,Laundry Machines,6434077696.0,615970176.0
2025-10-01,4,Laundry Machines,6960305664.0,506069280.0
2025-11-01,4,Laundry Machines,7529621504.0,547067648.0
2025-12-01,4,Laundry Machines,7290358784.0,528756896.0
2025-01-01,5,Dish Cleaning Machines,1524070656.0,215483440.0
2025-02-01,5,Dish Cleaning Machines,1400460416.0,187504320.0
2025-03-01,5,Dish Cleaning Machines,1907357056.0,209745184.0
2025-04-01,5,Dish Cleaning Machines,1701109120.0,218387936.0
2025-05-01,5,Dish Cleaning Machines,1648936576.0,195931424.0
2025-06-01,5,Dish Cleaning Machines,1608998528.0,190851392.0
2025-07-01,5,Dish Cleaning Machines,1662527488.0,195355104.0
2025-08-01,5,Dish Cleaning Machines,1718103168.0,216487152.0
2025-09-01,5,Dish Cleaning Machines,1499024640.0,180474800.0
2025-10-01,5,Dish Cleaning Machines,1637663232.0,184378208.0
2025-11-01,5,Dish Cleaning Machines,1590711680.0,187326640.0
2025-12-01,5,Dish Cleaning Machines,1479673728.0,185967264.0
2025-01-01,6,Microwave Cookers,1634350592.0,223087920.0
2025-02-01,6,Microwave Cookers,1700543232.0,210748080.0
2025-03-01,6,Microwave Cookers,1706709504.0,196669904.0
2025-04-01,6,Microwave Cookers,1596696192.0,212441216.0
2025-05-01,6,Microwave Cookers,1678424832.0,235699504.0
2025-06-01,6,Microwave Cookers,1499524864.0,213615136.0
2025-07-01,6,Microwave Cookers,1469847168.0,186701184.0
2025-08-01,6,Microwave Cookers,1437640704.0,209276288.0
2025-09-01,6,Microwave Cookers,1341508608.0,171970608.0
2025-10-01,6,Microwave Cookers,1244854656.0,162832720.0
2025-11-01,6,Microwave Cookers,1312724480.0,165209936.0
2025-12-01,6,Microwave Cookers,1296608000.0,180443440.0
2025-01-01,7,Kitchen Ventilation Systems,1000000000.0,108306744.0
2025-02-01,7,Kitchen Ventilation Systems,1000000000.0,110870200.0
2025-03-01,7,Kitchen Ventilation Systems,1000000000.0,109886728.0
2025-04-01,7,Kitchen Ventilation Systems,1000000000.0,106678928.0
2025-05-01,7,Kitchen Ventilation Systems,1000000000.0,106969632.0
2025-06-01,7,Kitchen Ventilation Systems,1000000000.0,107168400.0
2025-07-01,7,Kitchen Ventilation Systems,1000000000.0,104474728.0
2025-08-01,7,Kitchen Ventilation Systems,1000000000.0,107557080.0
2025-09-01,7,Kitchen Ventilation Systems,1000000000.0,109912608.0
2025-10-01,7,Kitchen Ventilation Systems,1000000000.0,110898856.0
2025-11-01,7,Kitchen Ventilation Systems,1000000000.0,111953304.0
2025-12-01,7,Kitchen Ventilation Systems,1000000000.0,112104768.0
2025-01-01,8,Integrated Stovetops,1484961408.0,148084736.0
2025-02-01,8,Integrated Stovetops,1457668352.0,146468144.0
2025-03-01,8,Integrated Stovetops,1511782016.0,133966160.0
2025-04-01,8,Integrated Stovetops,1259742208.0,135963968.0
2025-05-01,8,Integrated Stovetops,1468279680.0,128884384.0
2025-06-01,8,Integrated Stovetops,1432862464.0,114761376.0
2025-07-01,8,Integrated Stovetops,1553611520.0,134680640.0
2025-08-01,8,Integrated Stovetops,1688007168.0,148794880.0
2025-09-01,8,Integrated Stovetops,1515171712.0,153772144.0
2025-10-01,8,Integrated Stovetops,1677921280.0,152938768.0
2025-11-01,8,Integrated Stovetops,1499178496.0,144104896.0
2025-12-01,8,Integrated Stovetops,1758219776.0,158582288.0
2025-01-01,9,Cooking Appliances,1816484224.0,156775776.0
2025-02-01,9,Cooking Appliances,1450525952.0,151593280.0
2025-03-01,9,Cooking Appliances,1856209408.0,163061424.0
2025-04-01,9,Cooking Appliances,1548040320.0,135935888.0
2025-05-01,9,Cooking Appliances,1446758400.0,123074504.0
2025-06-01,9,Cooking Appliances,1517376000.0,138740800.0
2025-07-01,9,Cooking Appliances,1665780992.0,140843104.0
2025-08-01,9,Cooking Appliances,1560516480.0,144523552.0
2025-09-01,9,Cooking Appliances,1470699264.0,130641328.0
2025-10-01,9,Cooking Appliances,1439299456.0,146396624.0
2025-11-01,9,Cooking Appliances,1383278464.0,129659904.0
2025-12-01,9,Cooking Appliances,1561116928.0,131070648.0
2025-01-01,10,Baking Ovens,1646877056.0,179340928.0
2025-02-01,10,Baking Ovens,1613896320.0,158099104.0
2025-03-01,10,Baking Ovens,1131620992.0,121944944.0
2025-04-01,10,Baking Ovens,1301499520.0,131336392.0
2025-05-01,10,Baking Ovens,1387221248.0,143623888.0
2025-06-01,10,Baking Ovens,1588576896.0,170391680.0
2025-07-01,10,Baking Ovens,1819967232.0,174939600.0
2025-08-01,10,Baking Ovens,1852039936.0,174135008.0
2025-09-01,10,Baking Ovens,1794923136.0,154924832.0
2025-10-01,10,Baking Ovens,1578863488.0,157678576.0
2025-11-01,10,Baking Ovens,1620375040.0,186331712.0
2025-12-01,10,Baking Ovens,1410442112.0,140709168.0
2025-01-01,11,Climate Control Units,1000000000.0,122124864.0
2025-02-01,11,Climate Control Units,1000000000.0,145187024.0
2025-03-01,11,Climate Control Units,1000000000.0,142532032.0
2025-04-01,11,Climate Control Units,1000000000.0,140983792.0
2025-05-01,11,Climate Control Units,1000000000.0,146498080.0
2025-06-01,11,Climate Control Units,1000000000.0,147282464.0
2025-07-01,11,Climate Control Units,1000000000.0,150843744.0
2025-08-01,11,Climate Control Units,1000000000.0,150213184.0
2025-09-01,11,Climate Control Units,1000000000.0,141780848.0
2025-10-01,11,Climate Control Units,1000000000.0,144469968.0
2025-11-01,11,Climate Control Units,1000000000.0,139440016.0
2025-12-01,11,Climate Control Units,1000000000.0,143129136.0
2025-01-01,13,Digital Tablets,3676335872.0,398625824.0
2025-02-01,13,Digital Tablets,3264651264.0,463887296.0
2025-03-01,13,Digital Tablets,3197660416.0,424588224.0
2025-04-01,13,Digital Tablets,2828498944.0,399054368.0
2025-05-01,13,Digital Tablets,2490501632.0,393157504.0
2025-06-01,13,Digital Tablets,2773739520.0,386758688.0
2025-07-01,13,Digital Tablets,2727350016.0,329749312.0
2025-08-01,13,Digital Tablets,2677114368.0,386068064.0
2025-09-01,13,Digital Tablets,2683621376.0,412853472.0
2025-10-01,13,Digital Tablets,3339598336.0,416736032.0
2025-11-01,13,Digital Tablets,2601012992.0,419001056.0
2025-12-01,13,Digital Tablets,2837627648.0,423206624.0
2025-01-01,14,Display Screens,1721210112.0,566688384.0
2025-02-01,14,Display Screens,1504048128.0,500421888.0
2025-03-01,14,Display Screens,1504281728.0,599560448.0
2025-04-01,14,Display Screens,1419533184.0,528796256.0
2025-05-01,14,Display Screens,1654827776.0,581414656.0
2025-06-01,14,Display Screens,1519338112.0,554442368.0
2025-07-01,14,Display Screens,1740230912.0,607049152.0
2025-08-01,14,Display Screens,1599851904.0,613413696.0
2025-09-01,14,Display Screens,1576494208.0,574280448.0
2025-10-01,14,Display Screens,1401505920.0,450732896.0
2025-11-01,14,Display Screens,1559296000.0,472064000.0
2025-12-01,14,Display Screens,1412309376.0,537473536.0
2025-01-01,15,Mobile Phones & Refurbished Devices,38531465216.0,1970351104.0
2025-02-01,15,Mobile Phones & Refurbished Devices,38392299520.0,1966733184.0
2025-03-01,15,Mobile Phones & Refurbished Devices,36766314496.0,1808430976.0
2025-04-01,15,Mobile Phones & Refurbished Devices,38864584704.0,1917410944.0
2025-05-01,15,Mobile Phones & Refurbished Devices,36722274304.0,1629585536.0
2025-06-01,15,Mobile Phones & Refurbished Devices,36302249984.0,2281030912.0
2025-07-01,15,Mobile Phones & Refurbished Devices,34852216832.0,2543080960.0
2025-08-01,15,Mobile Phones & Refurbished Devices,37331931136.0,2640541184.0
2025-09-01,15,Mobile Phones & Refurbished Devices,34884673536.0,2459998976.0
2025-10-01,15,Mobile Phones & Refurbished Devices,39817990144.0,2626793472.0
2025-11-01,15,Mobile Phones & Refurbished Devices,41776558080.0,2247062016.0
2025-12-01,15,Mobile Phones & Refurbished Devices,34358697984.0,2433597952.0
2025-01-01,16,Flat-Screen TVs,12574516224.0,972648320.0
2025-02-01,16,Flat-Screen TVs,12637270016.0,935291840.0
2025-03-01,16,Flat-Screen TVs,11469774848.0,1046559424.0
2025-04-01,16,Flat-Screen TVs,12086554624.0,944459392.0
2025-05-01,16,Flat-Screen TVs,11427307520.0,825179968.0
2025-06-01,16,Flat-Screen TVs,12541775872.0,1053308800.0
2025-07-01,16,Flat-Screen TVs,13539229696.0,1021733056.0
2025-08-01,16,Flat-Screen TVs,13371667456.0,954212800.0
2025-09-01,16,Flat-Screen TVs,13102224384.0,1062858624.0
2025-10-01,16,Flat-Screen TVs,11295477760.0,964813760.0
2025-11-01,16,Flat-Screen TVs,11056933888.0,950762432.0
2025-12-01,16,Flat-Screen TVs,11979872256.0,1035846272.0
2025-01-01,17,Floor Cleaning Devices,4749279744.0,556530816.0
2025-02-01,17,Floor Cleaning Devices,4943922176.0,709450496.0
2025-03-01,17,Floor Cleaning Devices,5274598400.0,674364096.0
2025-04-01,17,Floor Cleaning Devices,5200988160.0,730556544.0
2025-05-01,17,Floor Cleaning Devices,5339685888.0,681528128.0
2025-06-01,17,Floor Cleaning Devices,5523985408.0,830113664.0
2025-07-01,17,Floor Cleaning Devices,5671300096.0,758442176.0
2025-08-01,17,Floor Cleaning Devices,4840125952.0,728714752.0
2025-09-01,17,Floor Cleaning Devices,5210632704.0,652684288.0
2025-10-01,17,Floor Cleaning Devices,5122018304.0,686596544.0
2025-11-01,17,Floor Cleaning Devices,5175293440.0,667166592.0
2025-12-01,17,Floor Cleaning Devices,5057442816.0,676146048.0
2025-01-01,18,Fabric Care Appliances,1388133888.0,217358032.0
2025-02-01,18,Fabric Care Appliances,1298132864.0,225796272.0
2025-03-01,18,Fabric Care Appliances,1354033408.0,216478128.0
2025-04-01,18,Fabric Care Appliances,1410036864.0,221454528.0
2025-05-01,18,Fabric Care Appliances,1384734976.0,204838896.0
2025-06-01,18,Fabric Care Appliances,1486056064.0,218573488.0
2025-07-01,18,Fabric Care Appliances,1483465088.0,202760208.0
2025-08-01,18,Fabric Care Appliances,1576117248.0,215706432.0
2025-09-01,18,Fabric Care Appliances,1548139008.0,220323408.0
2025-10-01,18,Fabric Care Appliances,1601435776.0,236067104.0
2025-11-01,18,Fabric Care Appliances,1605969536.0,241779552.0
2025-12-01,18,Fabric Care Appliances,1601567872.0,229376128.0
2025-01-01,19,Electric Cookware,1000000000.0,149357504.0
2025-02-01,19,Electric Cookware,1000000000.0,145149776.0
2025-03-01,19,Electric Cookware,1000000000.0,139778624.0
2025-04-01,19,Electric Cookware,1000000000.0,148187088.0
2025-05-01,19,Electric Cookware,1000000000.0,155468496.0
2025-06-01,19,Electric Cookware,1000000000.0,151531504.0
2025-07-01,19,Electric Cookware,1000000000.0,160881472.0
2025-08-01,19,Electric Cookware,1000000000.0,151099792.0
2025-09-01,19,Electric Cookware,1000000000.0,157041104.0
2025-10-01,19,Electric Cookware,1000000000.0,151399968.0
2025-11-01,19,Electric Cookware,1000000000.0,153472624.0
2025-12-01,19,Electric Cookware,1000000000.0,161406304.0
2025-01-01,21,Smart Wearables,2479848704.0,200551680.0
2025-02-01,21,Smart Wearables,2366119936.0,217938368.0
2025-03-01,21,Smart Wearables,2302596352.0,217530032.0
2025-04-01,21,Smart Wearables,2448762368.0,200450368.0
2025-05-01,21,Smart Wearables,2406391808.0,201461536.0
2025-06-01,21,Smart Wearables,2281445888.0,192608320.0
2025-07-01,21,Smart Wearables,2342064640.0,199099088.0
2025-08-01,21,Smart Wearables,2314986496.0,191486160.0
2025-09-01,21,Smart Wearables,2386444800.0,203235968.0
2025-10-01,21,Smart Wearables,2133807488.0,182872624.0
2025-11-01,21,Smart Wearables,2416215296.0,186685392.0
2025-12-01,21,Smart Wearables,2131334784.0,179825504.0
2025-01-01,23,Hot Beverage Machines,1801131648.0,254745152.0
2025-02-01,23,Hot Beverage Machines,1715779584.0,244664064.0
2025-03-01,23,Hot Beverage Machines,1735384576.0,295725824.0
